,Unnamed: 0,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
118,62,75.7825635750726,26.8389915657098,4.0,63,577753.9072187889,2968842.026235748,8874,9449,10631,11049,13852,13704,12577,0.112565760411228,2.545235469509445,2.372913340107409
119,145,75.8723619868803,26.8920696552196,1.0,146,586636.0284931592,2974779.3890576647,7832,8174,9113,8824,15463,11824,9817,0.2733561164408932,2.408284505208324,2.2683695532671155
120,251,75.7586799737302,26.93225102618,3.0,252,575318.940363708,2979157.3295267806,8879,9221,10608,10324,19841,16481,12712,0.3154980938173369,1.8490919242011168,1.7118000110126046
121,200,75.7524221852833,26.8979952751796,4.0,201,574720.2257249209,2975359.330232745,8883,9730,11189,11831,13801,14762,13427,0.076857053682896,2.51796718687474,0.0336449252529495
122,82,75.777446115455,26.8371535405315,4.0,83,577246.6755165487,2968635.316039748,8966,9829,11335,11974,14407,14582,13296,0.0922254652969937,2.4265402843601804,0.0060367725689054
123,95,75.6801579844409,26.8093434769907,2.0,96,567596.3836657666,2965499.5284140813,8015,8428,9419,9559,13006,12714,11151,0.1527586970972738,2.762497212931984,2.5367029548989017
124,265,75.7726835445478,26.9903306348659,4.0,266,576669.8757136718,2985598.907762766,9311,9901,11271,11895,13050,13768,13426,0.046301864101022,2.621479379959695,0.0267730628682227
125,242,75.7613709997911,26.9232621537879,1.0,243,575592.0968172137,2978163.292470823,7985,8266,9013,8842,14418,12327,10246,0.2397248495270841,2.566301054159009,2.372219106375015
126,74,75.7800166036051,26.8385984787181,2.0,75,577501.1036580071,2968796.928695905,9991,10313,11780,12253,13159,11742,11001,0.0356524476625215,2.572557039175578,2.5749568290430003
127,178,75.7537340730761,26.8911606150005,4.0,179,574855.0139902674,2974603.075828827,8647,9495,11139,11702,13592,14065,12696,0.0747212777733847,2.550766244793973,0.0171023610659145
128,80,75.7776495999277,26.8364770921494,4.0,81,577267.3534984731,2968560.5146544995,9137,9964,11495,12270,13939,14637,13772,0.0636804151245752,2.480616497601626,0.0244260918253078
129,255,75.7867375816705,26.9843530198326,4.0,256,578068.5713343803,2984945.409653165,9747,10723,12405,13158,13788,16759,17198,0.0233800935203739,2.4492421639369204,0.0972599600615441
130,225,75.7489314628697,26.8948531663053,4.0,226,574375.6214859791,2975009.2453053086,7914,9209,11476,12460,13999,15039,14549,0.0581654635473749,2.473523061825309,0.0358151387836626
131,125,75.9016966974639,26.8965705252242,1.0,126,589545.9092327887,2975298.3340059808,8242,8599,9663,10233,14351,13427,12071,0.1675073218353394,2.5338552511035126,2.3260133918928565
132,183,75.7521561381085,26.896362295969,4.0,184,574694.8789132761,2975178.2991777267,9450,10221,11441,12131,14050,14438,13989,0.0732974294335584,2.468596759640648,0.0136197697276045
133,215,75.7498396928801,26.8989080922103,4.0,216,574463.1606989398,2975458.915651829,9071,9726,10971,11629,14794,13864,12523,0.1197820080990042,2.395226081894033,2.2543792309302737
