,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
156,75.8764093002982,26.8929803007386,5.0,157,587037.2960280918,2974883.0317680323,8914,9541,10972,11056,18166,16245,13669,0.24330983505577908,2.0022650833962454,1.8486821074656306
157,75.8698772382174,26.8903551510257,5.0,158,586390.5559657397,2974587.7846607203,9273,9948,11365,12007,14417,14674,14102,0.09120496518316648,2.423551314870831,0.008834347392664367
158,75.8691301084895,26.8909500876609,5.0,159,586315.900353286,2974653.1735035055,8979,9927,11335,12653,14646,15047,13870,0.07300633722846965,2.395019437281081,0.013504866466843993
159,75.8701539529314,26.8897463786548,5.0,160,586418.5019346178,2974520.5427041305,9333,10013,11660,12345,14844,14881,14074,0.09191217036301412,2.3525505584062696,0.0012447434819175738
160,75.8705794018042,26.89034131529,5.0,161,586460.3040165956,2974586.731240411,8788,9566,11189,11986,15169,15271,13621,0.11721598232369687,2.3353820471962883,0.0033508541392903964
161,75.8658420835028,26.8934744971889,5.0,162,585987.430575302,2974930.553377436,8860,9473,10587,11053,13192,13291,12539,0.08822437616003263,2.6464948063417193,0.0037382471774345667
162,75.8652836343067,26.8938039194676,5.0,163,585931.7187755074,2974966.662826068,8700,9420,10593,11132,13807,13913,12673,0.10726171859336739,2.554180327868842,0.0038239538239538103
163,75.8649197011227,26.8938509797931,5.0,164,585895.5391718326,2974971.6285896813,8773,9535,10769,11655,13297,13816,13086,0.0658063481885217,2.618133466300995,0.019142108951425447
164,75.8657228640115,26.8932831185318,5.0,165,585975.735153,2974909.274375405,8860,9473,10587,11053,13192,13291,12539,0.08822437616003263,2.6464948063417193,0.0037382471774345667
165,75.8663346482432,26.892661922235,5.0,166,586036.965392322,2974840.8829802535,8043,8686,10115,10552,13761,13686,12701,0.13198700283798737,2.5921427374769537,2.3849965387838292
166,75.8667581911729,26.8922383793054,5.0,167,586079.3510060422,2974794.2570090424,8622,9439,10360,10760,14214,14146,12737,0.13830383598942847,2.5100512737039047,2.30846262341325
167,75.8640423058713,26.8945846626174,5.0,168,585807.8463442406,2975052.300233375,8888,9517,10985,11472,14476,14772,13686,0.1157700015415442,2.4368642237146916,0.010120350109409156
168,75.8648210366534,26.8933532945682,4.0,169,585886.11672357,2974916.435556454,8473,9351,10836,11407,13409,14783,13876,0.08067375886524791,2.5969478242936583,0.04873723041997713
169,75.8633901188412,26.8934798383203,4.0,170,585743.9090988456,2974929.482637554,8498,9134,10203,10719,12537,13593,12796,0.07817337461300276,2.7793315743183697,0.040413318025258174
170,75.8642029190951,26.8924382858991,4.0,171,585825.4196880868,2974814.665596988,9849,10654,12168,12727,14555,14704,13588,0.06700388534564891,2.363095460838969,0.005092450186267456
171,75.7578990874671,26.8934449510872,2.0,172,575267.1512399733,2974858.5645558937,8024,8542,9462,9682,10311,10823,10309,0.031461011353973736,3.271481312901415,0.024226365098892668
172,75.7591926271789,26.89475683888,2.0,173,575394.7464730593,2975004.642969049,10243,10634,11748,12124,14007,13371,12391,0.07206000535762094,2.4568821588041065,2.370516473080567
173,75.7570275536188,26.8912890515676,2.0,174,575182.0231795824,2974619.252467366,8486,8969,10202,10543,11532,12077,11633,0.04480181200452981,2.954173184871616,0.02308441695963394
174,75.7573853411986,26.892178933497,2.0,175,575216.9677000213,2974718.031103777,8186,8656,9462,9604,10006,10299,9953,0.02049974502804681,3.3384014793507126,0.014429943363703452
175,75.7565138073503,26.8944999657457,4.0,176,575128.8759824015,2974974.598964857,8247,9208,10882,11449,15164,15188,13474,0.13959343178145966,2.3517622667588025,0.0007907221929362125
176,75.7561376716894,26.8961604670778,4.0,177,575090.4228556346,2975158.2984949504,8646,9511,11011,11691,13646,14505,12954,0.07715988475352221,2.551040272539228,0.03051401371176857
177,75.7576055181708,26.8957751573765,4.0,178,575236.4519134391,2975116.4914812082,9285,9936,11660,12076,14028,14519,13642,0.07477781182960437,2.4590470258486357,0.017199705748414836
178,75.7537340730761,26.8911606150005,4.0,179,574855.0139902674,2974603.075828827,8647,9495,11139,11702,13592,14065,12696,0.0747212777733847,2.550766244793973,0.017102361065914534
179,75.7590274944497,26.8931605558314,4.0,180,575379.4062932786,2974827.7350712195,9575,10304,11897,12273,15387,15778,13581,0.11258134490238572,2.274080046913934,0.012546125461254573
180,75.7529818017543,26.8967843018324,5.0,181,574776.5985477827,2975225.5291745714,8735,9373,10261,10807,12330,12345,12016,0.06582530146518535,2.8093931211544296,0.0006079027355623076
181,75.7521836602301,26.8969219124401,5.0,182,574697.2440200282,2975240.3003522037,8981,9848,11481,12171,13706,14398,13794,0.059319086447424126,2.5136379878508657,0.024622829490463904
182,75.7524221852833,26.8965732989007,5.0,183,574721.1614918575,2975201.827493504,9117,9809,11008,11656,12791,13700,13462,0.04642696445371602,2.6788100340350325,0.03431354044769909
183,75.7521561381085,26.896362295969,5.0,184,574694.8789132761,2975178.2991777267,9450,10221,11441,12131,14050,14438,13989,0.07329742943355841,2.468596759640648,0.013619769727604559
184,75.7534221556988,26.8969402605211,5.0,185,574820.2276459738,2975243.0637577306,9053,9504,10623,10963,12124,12446,12115,0.05028804088881167,2.8150964962412504,0.013105413105413053
185,75.755174397436,26.8920871930919,3.0,186,574997.4488745487,2974706.558599693,8093,8536,9903,9782,18332,12799,10730,0.30411894429821335,2.022560651673448,1.9274356750505865
186,75.7549175243017,26.8929403788592,3.0,187,574971.3743280084,2974800.9081415846,8223,8599,9982,9790,18036,12034,10024,0.29634155106734605,2.051609679491748,1.9798470236115666
187,75.7559450168387,26.8933440366416,3.0,188,575073.1519908512,2974846.2272006464,8807,9108,10171,10815,15265,15319,13303,0.17062883435582757,2.376238402264498,0.0017656290871043627
188,75.7554037484487,26.8949678418117,3.0,189,575018.3238874845,2975025.7644497007,8451,8832,9876,9970,16009,13554,11647,0.23245698448746976,2.294881205331264,2.1337820924804585
189,75.7553211820841,26.8957384612144,3.0,190,575009.6149833909,2975111.0718796593,8432,8827,9792,10207,14762,14347,12305,0.18242620849853747,2.466644945833663,2.2371431516025897
190,75.7553028340031,26.8965090806172,3.0,191,575007.2837581583,2975196.4173556063,8645,9060,10492,11359,14253,15634,15033,0.11299390910510655,2.4964639321074866,0.046207381135610646
191,75.7548074358156,26.8970044788047,3.0,192,574957.7582407291,2975250.9959747097,8272,8692,9588,10238,13723,14658,12711,0.14544468093986002,2.6339925357127427,0.03294457559634956
192,75.7548991762207,26.896343947888,3.0,193,574967.3051313865,2975177.8876975123,8278,8615,9465,9759,13925,13377,11639,0.17589934132747773,2.611201368106017,2.380338436744552
193,75.7557248398665,26.8960595526322,4.0,194,575049.4906891474,2975146.8761658086,8696,9268,9989,10483,12300,12028,11061,0.07975244699995576,2.8366010139530586,2.682670174284764
194,75.7557064917855,26.894288962814,4.0,195,575048.8386983961,2974950.7489483855,9200,9765,10893,11300,13260,13948,12720,0.079804560260586,2.6153686912598744,0.025286680388121048
195,75.7504589406144,26.8950595822168,4.0,196,574527.1834309791,2975033.006526612,8702,9668,10139,9923,15463,16605,15221,0.21823052075947288,2.351847511913123,0.03561182487214658
196,75.7509084685993,26.8945641840293,4.0,197,574572.152365348,2974978.399241497,8694,9971,11493,12370,16026,16920,15700,0.12875052824341413,2.2167593299175037,0.027135312329265988
197,75.7509268166803,26.8925550691578,4.0,198,574575.2939115968,2974755.874077339,8934,9694,10599,10706,13440,13556,12646,0.1132278638283769,2.6080535795998063,0.004296932878945013
198,75.750110327075,26.898435629124,4.0,199,574490.3470354956,2975406.743272205,8627,9428,10987,11507,14196,14564,13212,0.10461813796054895,2.474963268871848,0.012795549374130693
199,75.7477525986643,26.8982062781113,4.0,200,574256.3528790363,2975379.9549021684,9439,10088,11721,12137,13186,13643,13144,0.04142479169134763,2.5724093628297164,0.01703380670170332
